dataset,method,run_name,row_type,seed,status,roc_auc,auprc,macro_f1,f1,delta_auprc_vs_base,delta_roc_auc_vs_base,delta_macro_f1_vs_base,delta_auprc_vs_best_single,delta_macro_f1_vs_best_single,near_cap_fraction,residual_shift_mean,residual_shift_max_abs,mean_gate_all_relations,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,mean_sparse_penalty,positive_auprc_vs_base_seeds
amazon,base,base,seed,42,complete,0.9716901745158977,0.8687558927379789,0.9151690686910434,0.8410596026490066,0.0,0.0,0.0,-0.006094999157330805,0.0,,,,,,,,
amazon,base,base,seed,123,complete,0.9820047129537925,0.860012186805779,0.9166954284459226,0.8440065681444991,0.0,0.0,0.0,-0.0007038883602080714,0.0,,,,,,,,
amazon,base,base,seed,456,complete,0.975258358662614,0.8590609728417147,0.9134017576221067,0.8377483443708609,0.0,0.0,0.0,-0.0021119341614159737,-0.000531276779539791,,,,,,,,
amazon,base,base,seed,789,complete,0.9151224343430895,0.8121320421089955,0.9124449460269536,0.8360655737704918,0.0,0.0,0.0,-0.004002533676580988,-0.001707907794391894,,,,,,,,
amazon,base,base,seed,2026,complete,0.9485147365185616,0.8560399734825681,0.9273408483742751,0.8640776699029126,0.0,0.0,0.0,-0.0028791561804858423,0.0,,,,,,,,
amazon,base,base,mean,,5/5 complete,0.9585180833987911,0.8512002135954072,0.9170104098320603,0.8445915517675542,0.0,0.0,0.0,-0.0031585023072043363,-0.000447836914786337,,,,,,,,0
amazon,base,base,std,,5/5 complete,0.027334099006239447,0.02234608230206523,0.00600153191847369,0.011314232836133255,0.0,0.0,0.0,0.0020330931775483507,0.0007410152730200694,,,,,,,,0
amazon,best_single,cover_rel_uvu_nollm,seed,42,complete,0.9733964003961614,0.8748508918953097,0.9151690686910434,0.8410596026490066,0.006094999157330805,0.001706225880263701,0.0,0.0,0.0,0.9302578568458557,0.1393846571445465,0.20000004768371582,,,,,
amazon,best_single,cover_rel_uvu_nollm,seed,123,complete,0.9823899456985757,0.860716075165987,0.9166954284459226,0.8440065681444991,0.0007038883602080714,0.0003852327447831927,0.0,0.0,0.0,0.7752846479415894,0.16000740230083466,0.20000076293945312,,,,,
amazon,best_single,cover_rel_uvu_nollm,seed,456,complete,0.9759577883269015,0.8611729070031306,0.9139330344016465,0.8388157894736842,0.0021119341614159737,0.0006994296642874875,0.000531276779539791,0.0,0.0,0.9378767609596252,0.1485276073217392,0.20000028610229492,,,,,
