relation,run_name,row_type,seed,status,base_roc_auc,cover_roc_auc,delta_roc_auc,base_auprc,cover_auprc,delta_auprc,base_f1_at_val,cover_f1_at_val,delta_f1_at_val,base_macro_f1_at_val,cover_macro_f1_at_val,delta_macro_f1_at_val,base_recall@50,cover_recall@50,delta_recall@50,ranking_gap_pos_vs_hard_neg,base_ranking_gap_pos_vs_hard_neg,ranking_gap_delta,residual_shift_mean,residual_shift_max_abs,near_cap_fraction,fn_correction_rate,fp_correction_rate,num_accepted_err,relation_dim,relations,prototype_labels,test_label_used,relation_features_path,ranking_gap_train_first,ranking_gap_train_last,ranking_gap_train_delta,val_auprc_first,val_auprc_last,positive_auprc_seeds
upu,cover_rel_upu_nollm,seed,123,complete,0.9820047129537925,0.9820135924319524,8.87947815986223e-06,0.860012186805779,0.8604015259759397,0.0003893391701607074,0.8440065681444991,0.8459016393442623,0.0018950711997631764,0.9166954284459226,0.9176982492653363,0.001002820819413719,0.14285714285714285,0.14285714285714285,0.0,4.8687543869018555,4.909836292266846,-0.041081905364990234,0.19688400626182556,0.20000076293945312,0.9767247438430786,0.013888888888888888,0.0,0,9,UPU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_123/upu/rel_stats.pt,4.9098358154296875,4.879501819610596,-0.030333995819091797,0.8896403812559898,0.8899102835435853,
upu,cover_rel_upu_nollm,seed,456,complete,0.975258358662614,0.9757030156073905,0.000444656944776467,0.8590609728417147,0.8599903031757226,0.0009293303340078829,0.8377483443708609,0.8388157894736842,0.0010674451028233056,0.9134017576221067,0.9139330344016465,0.000531276779539791,0.1458966565349544,0.1458966565349544,0.0,3.629028797149658,3.574108123779297,0.05492067337036133,0.1725195050239563,0.20000004768371582,0.8539852499961853,0.02631578947368421,0.0,0,9,UPU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_456/upu/rel_stats.pt,3.570150852203369,3.607551097869873,0.037400245666503906,0.9064266220165118,0.9070423125271383,
upu,cover_rel_upu_nollm,seed,789,complete,0.9151224343430895,0.916459137324545,0.0013367029814554954,0.8121320421089955,0.8156147207457035,0.0034826786367080365,0.8360655737704918,0.8421052631578947,0.006039689387402847,0.9124449460269536,0.9156895030873272,0.003244557060373632,0.14893617021276595,0.14893617021276595,0.0,3.5104281902313232,3.1555867195129395,0.3548414707183838,0.12359439581632614,0.20000076293945312,0.9332719445228577,0.013513513513513514,0.11538461538461539,0,9,UPU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_789/upu/rel_stats.pt,3.153973340988159,3.5194005966186523,0.36542725563049316,0.7747700262223031,0.7758181943825271,
upu,cover_rel_upu_nollm,mean,,3/3 complete,0.957461835319832,0.9580585817879627,0.0005967464681306082,0.8437350672521631,0.8453355166324552,0.0016004493802922088,0.8392734954286173,0.8422742306586137,0.003000735229996443,0.9141807106983276,0.91577359558477,0.0015928848864423806,0.1458966565349544,0.1458966565349544,0.0,4.002737124760945,3.8798437118530273,0.12289341290791829,0.16433263570070267,0.20000052452087402,0.9213273127873739,0.017906063958695536,0.038461538461538464,,,,,,,,,0.12416450182596843,,,3
upu,cover_rel_upu_nollm,std,,3/3 complete,0.03682182749888394,0.03616408687791524,0.0006768509668395543,0.027373154744221907,0.025739785491614407,0.0016522674857719062,0.004184424957355018,0.003545945516969698,0.002664145832569462,0.0022297367826060923,0.0018840154998120836,0.0014496910612227852,0.0030395136778115506,0.0030395136778115506,0.0,0.7523336691487876,0.9162169929868732,0.20652856926462893,0.037324393790124546,4.1295309247228556e-07,0.06223545217896417,0.007285453938925025,0.06661733875264912,,,,,,,,,0.21166664627998028,,,3
usu,cover_rel_usu_nollm,seed,123,complete,0.9820047129537925,0.9819951504388511,-9.562514941441336e-06,0.860012186805779,0.8599924227862668,-1.9764019512202857e-05,0.8440065681444991,0.8440065681444991,0.0,0.9166954284459226,0.9166954284459226,0.0,0.14285714285714285,0.14285714285714285,0.0,4.812080383300781,4.909853935241699,-0.09777355194091797,0.16701917350292206,0.19962120056152344,0.4740455448627472,0.0,0.0,0,9,USU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_123/usu/rel_stats.pt,4.9098358154296875,4.87172794342041,-0.038107872009277344,0.8896849288400461,0.8893452005244287,
usu,cover_rel_usu_nollm,seed,456,complete,0.975258358662614,0.9758348417062258,0.0005764830436117974,0.8590609728417147,0.8613885241718108,0.0023275513300961004,0.8377483443708609,0.8388157894736842,0.0010674451028233056,0.9134017576221067,0.9139330344016465,0.000531276779539791,0.1458966565349544,0.1458966565349544,0.0,3.6642208099365234,3.5740184783935547,0.09020233154296875,0.17119449377059937,0.20000004768371582,0.8423476219177246,0.02631578947368421,0.0,0,9,USU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_456/usu/rel_stats.pt,3.570150852203369,3.714050531387329,0.14389967918395996,0.906442943246661,0.9072479697653536,
usu,cover_rel_usu_nollm,seed,789,complete,0.9151224343430895,0.9172138929681364,0.0020914586250468936,0.8121320421089955,0.8155407785125759,0.0034087364035804146,0.8360655737704918,0.8391376451077943,0.0030720713373024733,0.9124449460269536,0.9141528538213455,0.001707907794391894,0.14893617021276595,0.14893617021276595,0.0,3.229074478149414,3.1557490825653076,0.07332539558410645,0.06336604058742523,0.20000076293945312,0.6776624321937561,0.0,0.19230769230769232,0,9,USU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_789/usu/rel_stats.pt,3.153973340988159,3.3793883323669434,0.22541499137878418,0.7747601925659628,0.775742324265453,
usu,cover_rel_usu_nollm,mean,,3/3 complete,0.957461835319832,0.9583479617044044,0.0008861263845724165,0.8437350672521631,0.8456405751568845,0.0019055079047214374,0.8392734954286173,0.8406533342419925,0.0013798388133752597,0.9141807106983276,0.9149271055563049,0.0007463948579772284,0.1458966565349544,0.1458966565349544,0.0,3.9017918904622397,3.879873832066854,0.021918058395385742,0.13385990262031555,0.1998740037282308,0.6646851996580759,0.008771929824561403,0.06410256410256411,,,,,,,,,0.11040226618448894,,,2
usu,cover_rel_usu_nollm,std,,3/3 complete,0.03682182749888394,0.035756063248354585,0.0010841963413609232,0.027373154744221907,0.026076533383316638,0.001752781868192117,0.004184424957355018,0.0029084413293019745,0.0015596787964716214,0.0022297367826060923,0.0015353515967942391,0.0008740389575351362,0.0030395136778115506,0.0030395136778115506,0.0,0.8178061736515824,0.9161777019627145,0.10399888908307174,0.06108515992504686,0.0002189342566174676,0.18449366225961927,0.015193428136569098,0.11102889792108188,,,,,,,,,0.13491713156713486,,,2
uvu,cover_rel_uvu_nollm,seed,123,complete,0.9820047129537925,0.9823899456985757,0.0003852327447831927,0.860012186805779,0.860716075165987,0.0007038883602080714,0.8440065681444991,0.8440065681444991,0.0,0.9166954284459226,0.9166954284459226,0.0,0.14285714285714285,0.14285714285714285,0.0,4.98797607421875,4.911703109741211,0.07627296447753906,0.16000740230083466,0.20000076293945312,0.7752846479415894,0.0,0.0,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_123/uvu/rel_stats.pt,4.9098358154296875,4.95780086517334,0.047965049743652344,0.8897250861885322,0.8912587939165537,
uvu,cover_rel_uvu_nollm,seed,456,complete,0.975258358662614,0.9759577883269015,0.0006994296642874875,0.8590609728417147,0.8611729070031306,0.0021119341614159737,0.8377483443708609,0.8388157894736842,0.0010674451028233056,0.9134017576221067,0.9139330344016465,0.000531276779539791,0.1458966565349544,0.1458966565349544,0.0,3.8194735050201416,3.5727310180664062,0.24674248695373535,0.1485276073217392,0.20000028610229492,0.9378767609596252,0.02631578947368421,0.0,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_456/uvu/rel_stats.pt,3.5701513290405273,3.8501930236816406,0.2800416946411133,0.9064426893329376,0.9074059703951394,
