relation,run_name,seed,split,delta_auprc,delta_macro_f1_at_val,near_cap_nodes_all,near_cap_fraction_all,residual_shift_mean_all,residual_shift_max_abs_all,test_label0_count,test_label0_shift_mean,test_label0_shift_abs_mean,test_label0_near_cap_fraction,test_label1_count,test_label1_shift_mean,test_label1_shift_abs_mean,test_label1_near_cap_fraction,test_base_tn_count,test_base_tn_shift_mean,test_base_tn_shift_abs_mean,test_base_tn_near_cap_fraction,test_base_tp_count,test_base_tp_shift_mean,test_base_tp_shift_abs_mean,test_base_tp_near_cap_fraction,test_base_fp_count,test_base_fp_shift_mean,test_base_fp_shift_abs_mean,test_base_fp_near_cap_fraction,test_base_fn_count,test_base_fn_shift_mean,test_base_fn_shift_abs_mean,test_base_fn_near_cap_fraction
uvu,cover_rel_uvu_nollm,42,test,0.006094999157330805,0.0,11111,0.9302578568458557,0.13938464224338531,0.20000004768371582,4450,0.1345885694026947,0.19313718378543854,0.9289887547492981,329,0.16578711569309235,0.19525466859340668,0.9422492384910583,4429,0.1347275674343109,0.1932210475206375,0.9297809600830078,254,0.18927805125713348,0.19654332101345062,0.960629940032959,21,0.10527489334344864,0.17545254528522491,0.761904776096344,75,0.08623111993074417,0.19089041650295258,0.8799999952316284
uvu,cover_rel_uvu_nollm,123,test,0.0007038883602080714,0.0,9260,0.7752846479415894,0.16000740230083466,0.20000076293945312,4450,0.1579131931066513,0.17690151929855347,0.7705618143081665,329,0.17822228372097015,0.1845942884683609,0.848024308681488,4427,0.15782132744789124,0.1768924593925476,0.7704992294311523,257,0.19178375601768494,0.19210083782672882,0.9027237296104431,23,0.17559225857257843,0.1786482036113739,0.782608687877655,72,0.12981539964675903,0.15780009329319,0.6527777910232544
uvu,cover_rel_uvu_nollm,456,test,0.0021119341614159737,0.000531276779539791,11202,0.9378767609596252,0.1485276073217392,0.20000004768371582,4450,0.1495330035686493,0.19409331679344177,0.9339326024055481,329,0.15848450362682343,0.19363199174404144,0.936170220375061,4428,0.14931806921958923,0.1940997838973999,0.9338301420211792,253,0.1997893899679184,0.1997893899679184,0.992094874382019,22,0.19279146194458008,0.19279146194458008,0.9545454382896423,76,0.02098272740840912,0.17313435673713684,0.75
uvu,cover_rel_uvu_nollm,789,test,0.004002533676580988,0.001707907794391894,8686,0.7272270321846008,0.08328942954540253,0.20000076293945312,4450,0.09406919032335281,0.17640365660190582,0.7611235976219177,329,-0.03981741517782211,0.10938572883605957,0.24316109716892242,4424,0.09549423307180405,0.17656821012496948,0.7637884020805359,255,-0.08677199482917786,0.08677199482917786,0.07058823853731155,26,-0.148406982421875,0.148406982421875,0.3076923191547394,74,0.12198550254106522,0.18731145560741425,0.837837815284729
uvu,cover_rel_uvu_nollm,2026,test,0.0028791561804858423,0.0,9221,0.7720194458961487,0.10939179360866547,0.20000076293945312,4450,0.11718030273914337,0.18281950056552887,0.8092134594917297,329,-0.02008035033941269,0.06426162272691727,0.16109421849250793,4428,0.11824239790439606,0.18324792385101318,0.8132339715957642,267,-0.037161700427532196,0.037161700427532196,0.0,22,-0.09658725559711456,0.09658725559711456,0.0,62,0.053479671478271484,0.1809660792350769,0.8548387289047241
all,cover_rel_all_nollm,42,test,0.004410729438296568,0.001013050419499839,11287,0.9449933171272278,0.13748905062675476,0.20000004768371582,4450,0.13451117277145386,0.1943688988685608,0.9417977333068848,329,0.1606464385986328,0.19805178046226501,0.9817629456520081,4429,0.1345347762107849,0.19439704716205597,0.942199170589447,254,0.19834545254707336,0.19987685978412628,1.0,21,0.12953351438045502,0.18843276798725128,0.8571428656578064,75,0.03297250345349312,0.19187094271183014,0.9200000166893005
all,cover_rel_all_nollm,123,test,0.001412200094405791,0.0,11003,0.9212156534194946,0.17764541506767273,0.20000076293945312,4450,0.17744944989681244,0.19214297831058502,0.9177528023719788,329,0.17865970730781555,0.18907508254051208,0.8875380158424377,4427,0.177495077252388,0.19218380749225616,0.9184549450874329,257,0.18621009588241577,0.19186022877693176,0.9221789836883545,23,0.1686665564775467,0.1842854917049408,0.782608687877655,72,0.15170900523662567,0.17913368344306946,0.7638888955116272
all,cover_rel_all_nollm,456,test,0.002508900462672048,0.000531276779539791,11345,0.9498493075370789,0.15734320878982544,0.20000028610229492,4450,0.15791675448417664,0.19520772993564606,0.9478651881217957,329,0.17183195054531097,0.19499313831329346,0.9483282566070557,4428,0.15770773589611053,0.19518396258354187,0.9476061463356018,253,0.19999544322490692,0.19999544322490692,1.0,22,0.19999003410339355,0.19999003410339355,1.0,76,0.07807715982198715,0.17834065854549408,0.7763158082962036
all,cover_rel_all_nollm,789,test,0.002940224678915526,0.002496701965199022,10976,0.9189551472663879,0.09561813622713089,0.20000076293945312,4450,0.09094172716140747,0.19219428300857544,0.9141573309898376,329,0.18244090676307678,0.1975780427455902,0.9726443886756897,4424,0.09065648913383484,0.19217054545879364,0.913878858089447,255,0.19960922002792358,0.19960922002792358,0.9921568632125854,26,0.13947629928588867,0.19623400270938873,0.9615384340286255,74,0.12327978014945984,0.1905786246061325,0.9054054021835327
all,cover_rel_all_nollm,2026,test,0.003041421704710112,0.0,9687,0.8110348582267761,0.06730174273252487,0.20000076293945312,4450,0.07043670862913132,0.18729111552238464,0.8631460666656494,329,0.003494590288028121,0.03935391083359718,0.1762917935848236,4428,0.07106231153011322,0.18794602155685425,0.8667569756507874,267,-0.003925999626517296,0.003925999626517296,0.00374531839042902,22,-0.05547893047332764,0.05547893047332764,0.13636364042758942,62,0.035451002418994904,0.19192250072956085,0.9193548560142517
