relation,run_name,row_type,seed,status,base_roc_auc,cover_roc_auc,delta_roc_auc,base_auprc,cover_auprc,delta_auprc,base_f1_at_val,cover_f1_at_val,delta_f1_at_val,base_macro_f1_at_val,cover_macro_f1_at_val,delta_macro_f1_at_val,base_recall@50,cover_recall@50,delta_recall@50,ranking_gap_pos_vs_hard_neg,base_ranking_gap_pos_vs_hard_neg,ranking_gap_delta,residual_shift_mean,residual_shift_max_abs,near_cap_fraction,fn_correction_rate,fp_correction_rate,num_accepted_err,relation_dim,relations,prototype_labels,test_label_used,relation_features_path,ranking_gap_train_first,ranking_gap_train_last,ranking_gap_train_delta,val_auprc_first,val_auprc_last,positive_auprc_seeds
uvu,cover_rel_uvu_nollm,seed,42,complete,0.9716901745158977,0.9733964003961614,0.001706225880263701,0.8687558927379789,0.8748508918953097,0.006094999157330805,0.8410596026490066,0.8410596026490066,0.0,0.9151690686910434,0.9151690686910434,0.0,0.1458966565349544,0.1458966565349544,0.0,3.9506537914276123,3.709775447845459,0.24087834358215332,0.1393846571445465,0.20000004768371582,0.9302578568458557,0.0,0.0,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_42/uvu/rel_stats.pt,3.7055397033691406,3.9408926963806152,0.2353529930114746,0.8649298949258795,0.8670379152573405,
uvu,cover_rel_uvu_nollm,seed,123,complete,0.9820047129537925,0.9823899456985757,0.0003852327447831927,0.860012186805779,0.860716075165987,0.0007038883602080714,0.8440065681444991,0.8440065681444991,0.0,0.9166954284459226,0.9166954284459226,0.0,0.14285714285714285,0.14285714285714285,0.0,4.98797607421875,4.911703109741211,0.07627296447753906,0.16000740230083466,0.20000076293945312,0.7752846479415894,0.0,0.0,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_123/uvu/rel_stats.pt,4.9098358154296875,4.95780086517334,0.047965049743652344,0.8897250861885322,0.8912587939165537,
uvu,cover_rel_uvu_nollm,seed,456,complete,0.975258358662614,0.9759577883269015,0.0006994296642874875,0.8590609728417147,0.8611729070031306,0.0021119341614159737,0.8377483443708609,0.8388157894736842,0.0010674451028233056,0.9134017576221067,0.9139330344016465,0.000531276779539791,0.1458966565349544,0.1458966565349544,0.0,3.8194735050201416,3.5727310180664062,0.24674248695373535,0.1485276073217392,0.20000028610229492,0.9378767609596252,0.02631578947368421,0.0,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_456/uvu/rel_stats.pt,3.5701513290405273,3.8501930236816406,0.2800416946411133,0.9064426893329376,0.9074059703951394,
uvu,cover_rel_uvu_nollm,seed,789,complete,0.9151224343430895,0.9170404016256275,0.0019179672825380134,0.8121320421089955,0.8161345757855765,0.004002533676580988,0.8360655737704918,0.8391376451077943,0.0030720713373024733,0.9124449460269536,0.9141528538213455,0.001707907794391894,0.14893617021276595,0.14893617021276595,0.0,3.2800769805908203,3.1556758880615234,0.12440109252929688,0.08328942954540253,0.20000076293945312,0.7272270321846008,0.0,0.19230769230769232,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_789/uvu/rel_stats.pt,3.153973340988159,3.3724348545074463,0.2184615135192871,0.7747535837091846,0.7763869484224325,
uvu,cover_rel_uvu_nollm,seed,2026,complete,0.9485147365185616,0.9498726136402444,0.0013578771216828933,0.8560399734825681,0.858919129663054,0.0028791561804858423,0.8640776699029126,0.8640776699029126,0.0,0.9273408483742751,0.9273408483742751,0.0,0.14893617021276595,0.14893617021276595,0.0,4.9419660568237305,4.805568695068359,0.1363973617553711,0.10939180105924606,0.20000076293945312,0.7720194458961487,0.0,0.0,0,9,UVU,train_only,False,artifacts/relation_features/amazon/bwgnn/seed_2026/uvu/rel_stats.pt,4.8032684326171875,4.975066184997559,0.1717977523803711,0.7923998512415282,0.7954714934826058,
uvu,cover_rel_uvu_nollm,mean,,5/5 complete,0.9585180833987911,0.9597314299375022,0.0012133465387110577,0.8512002135954072,0.8543587159026116,0.0031585023072043363,0.8445915517675542,0.8454194550555794,0.0008279032880251558,0.9170104098320603,0.9174582467468466,0.000447836914786337,0.1465045592705167,0.1465045592705167,0.0,4.196029281616211,4.031090831756591,0.16493844985961914,0.12812017947435378,0.20000052452087402,0.8285331487655639,0.005263157894736842,0.038461538461538464,,,,,,,,,0.19072380065917968,,,5
uvu,cover_rel_uvu_nollm,std,,5/5 complete,0.027334099006239447,0.02684750741605465,0.0006538716496541374,0.02234608230206523,0.022297201368259755,0.0020330931775483507,0.011314232836133255,0.010632533553408659,0.0013369687802453115,0.00600153191847369,0.0056311807671338325,0.0007410152730200694,0.0025430395943284974,0.0025430395943284974,0.0,0.745750192213739,0.7834191986551519,0.07546225429150964,0.03130772606468646,3.371747880871523e-07,0.09822941574497289,0.011768778828946261,0.08600261451922268,,,,,,,,,0.08870891721877402,,,5
all,cover_rel_all_nollm,seed,42,complete,0.9716901745158977,0.9729831631433352,0.0012929886274375413,0.8687558927379789,0.8731666221762755,0.004410729438296568,0.8410596026490066,0.8429752066115702,0.0019156039625636279,0.9151690686910434,0.9161821191105433,0.001013050419499839,0.1458966565349544,0.1458966565349544,0.0,4.0039777755737305,3.7094321250915527,0.29454565048217773,0.13748905062675476,0.20000004768371582,0.9449933171272278,0.013333333333333334,0.0,0,27,"UPU,USU,UVU",train_only,False,artifacts/relation_features/amazon/bwgnn/seed_42/all/rel_stats.pt,3.7055397033691406,3.988424777984619,0.2828850746154785,0.8648668237523149,0.8677473549109518,
all,cover_rel_all_nollm,seed,123,complete,0.9820047129537925,0.9823045661008845,0.0002998531470919108,0.860012186805779,0.8614243869001847,0.001412200094405791,0.8440065681444991,0.8440065681444991,0.0,0.9166954284459226,0.9166954284459226,0.0,0.14285714285714285,0.14285714285714285,0.0,4.984228134155273,4.91153621673584,0.0726919174194336,0.17764541506767273,0.20000076293945312,0.9212156534194946,0.0,0.0,0,27,"UPU,USU,UVU",train_only,False,artifacts/relation_features/amazon/bwgnn/seed_123/all/rel_stats.pt,4.9098358154296875,5.051207542419434,0.1413717269897461,0.8897498079559396,0.8913662379744688,
all,cover_rel_all_nollm,seed,456,complete,0.975258358662614,0.9759857928349442,0.0007274341723302324,0.8590609728417147,0.8615698733043867,0.002508900462672048,0.8377483443708609,0.8388157894736842,0.0010674451028233056,0.9134017576221067,0.9139330344016465,0.000531276779539791,0.1458966565349544,0.1458966565349544,0.0,3.763080596923828,3.573883533477783,0.18919706344604492,0.15734320878982544,0.20000004768371582,0.9498493075370789,0.02631578947368421,0.0,0,27,"UPU,USU,UVU",train_only,False,artifacts/relation_features/amazon/bwgnn/seed_456/all/rel_stats.pt,3.570150852203369,3.8826613426208496,0.31251049041748047,0.9065142764639915,0.9075361794668502,
all,cover_rel_all_nollm,seed,789,complete,0.9151224343430895,0.9170649909497628,0.0019425566066733069,0.8121320421089955,0.815072266787911,0.002940224678915526,0.8360655737704918,0.8407224958949097,0.004656922124417817,0.9124449460269536,0.9149416479921526,0.002496701965199022,0.14893617021276595,0.14893617021276595,0.0,3.5171008110046387,3.1554839611053467,0.361616849899292,0.09561813622713089,0.20000076293945312,0.9189551472663879,0.013513513513513514,0.07692307692307693,0,27,"UPU,USU,UVU",train_only,False,artifacts/relation_features/amazon/bwgnn/seed_789/all/rel_stats.pt,3.153973340988159,3.5238146781921387,0.3698413372039795,0.7747698999649122,0.7762088663462962,
all,cover_rel_all_nollm,seed,2026,complete,0.9485147365185616,0.9505447218332708,0.002029985314709215,0.8560399734825681,0.8590813951872782,0.003041421704710112,0.8640776699029126,0.8640776699029126,0.0,0.9273408483742751,0.9273408483742751,0.0,0.14893617021276595,0.14893617021276595,0.0,4.9933576583862305,4.805076599121094,0.18828105926513672,0.06730174273252487,0.20000076293945312,0.8110348582267761,0.0,0.0,0,27,"UPU,USU,UVU",train_only,False,artifacts/relation_features/amazon/bwgnn/seed_2026/all/rel_stats.pt,4.8032684326171875,4.990595817565918,0.18732738494873047,0.7922257234789595,0.7955824476832576,
all,cover_rel_all_nollm,mean,,5/5 complete,0.9585180833987911,0.9597766469724395,0.0012585635736484413,0.8512002135954072,0.8540629088712073,0.002862695275800009,0.8445915517675542,0.8461195460055152,0.0015279942379609502,0.9170104098320603,0.917818615664908,0.0008082058328477304,0.1465045592705167,0.1465045592705167,0.0,4.25234899520874,4.031082487106323,0.221266508102417,0.12707951068878173,0.20000047683715821,0.9092096567153931,0.010632527264106212,0.015384615384615385,,,,,,,,,0.258787202835083,,,5
all,cover_rel_all_nollm,std,,5/5 complete,0.027334099006239447,0.026712214533788244,0.0007525535162147966,0.02234608230206523,0.022477506038185626,0.0010797535313717343,0.011314232836133255,0.010238637225631939,0.0019249720326289005,0.00600153191847369,0.005431097288213703,0.0010339322427884432,0.0025430395943284974,0.0025430395943284974,0.0,0.6939745372864743,0.7831711614919191,0.11097178612444009,0.04512305468099103,3.917617017067667e-07,0.05658944506839819,0.011041517341053598,0.034401045807689073,,,,,,,,,0.09313004262020909,,,5
