dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
amazon,bwgnn,phase2_amz_c1_drel05_ltrust1em2_tau18_lsp0,42,True,True,0.8649919418188738,0.9695789078241863,0.9133481266392223,0.8699452591605977,0.1879466474056244,0.0,nan,0.0,0.0,1.0408222675323486,0.02025716006755829,0.1908555030822754,0.3876110017299652,0.4215334355831146
amazon,bwgnn,phase2_amz_c1_drel05_ltrust1em2_tau18_lsp0,123,True,True,0.859343262419791,0.9819446057170179,0.9144947780152717,0.8859717091053549,0.4656408429145813,0.0,nan,0.0,0.0,0.5191037654876709,0.1218217983841896,0.005863789934664965,0.787117063999176,0.20701920986175537
amazon,bwgnn,phase2_amz_c1_drel05_ltrust1em2_tau18_lsp0,456,True,True,0.8609569549309218,0.9761702127659575,0.9075240855702806,0.8865686060929829,0.23610149323940277,0.0,nan,0.0,0.0,0.8914190530776978,0.02763749472796917,0.16620378196239471,0.18795831501483917,0.6458379030227661
amazon,bwgnn,phase2_amz_c1_drel05_ltrust1em2_tau18_lsp0,789,True,True,0.8427589314780677,0.9663761483555889,0.9161821191105433,0.8783042330974208,0.18692557513713837,0.0,nan,0.0,0.0,1.0159300565719604,0.017293857410550117,0.44101619720458984,0.40093305706977844,0.15805070102214813
amazon,bwgnn,phase2_amz_c1_drel05_ltrust1em2_tau18_lsp0,2026,True,True,0.894580769827752,0.9797090263310679,0.9128460444249917,0.9148614184184908,0.4941926896572113,0.0,nan,0.0,0.0,0.017348652705550194,0.6311014890670776,0.0008838247740641236,0.9977450966835022,0.0013710393104702234
amazon,bwgnn,phase2_amz_c2_drel075_ltrust1em2_tau18_lsp0,42,True,True,0.8649791101305127,0.969586421228783,0.9133481266392223,0.8699452591605977,0.12853051722049713,0.0,nan,0.0,0.0,1.0924445390701294,0.013034787029027939,0.28663936257362366,0.3461557924747467,0.367204874753952
amazon,bwgnn,phase2_amz_c2_drel075_ltrust1em2_tau18_lsp0,123,True,True,0.8593446072115728,0.981945971790581,0.9071924702714249,0.8927283469824939,0.7155261039733887,0.0,nan,0.0,0.0,0.4522532820701599,0.15014441311359406,0.0032666416373103857,0.826408326625824,0.17032502591609955
amazon,bwgnn,phase2_amz_c2_drel075_ltrust1em2_tau18_lsp0,456,True,True,0.8610857345144858,0.9762521771797412,0.9070860558208327,0.8880639004068915,0.42244577407836914,0.0,nan,0.0,0.0,0.7626980543136597,0.03200697526335716,0.12369354814291,0.1445380598306656,0.7317684292793274
amazon,bwgnn,phase2_amz_c2_drel075_ltrust1em2_tau18_lsp0,789,True,True,0.8429821548001134,0.9664246439670776,0.9161821191105433,0.8783042330974208,0.354999303817749,0.0,nan,0.0,0.0,0.961931049823761,0.020298734307289124,0.5007827877998352,0.3808267414569855,0.11839045584201813
amazon,bwgnn,phase2_amz_c2_drel075_ltrust1em2_tau18_lsp0,2026,True,True,0.8945777420128374,0.9797062941839418,0.9128460444249917,0.9148614184184908,0.7424715161323547,0.0,nan,0.0,0.0,0.015814345329999924,0.6792004108428955,0.0007689666817896068,0.9979750514030457,0.0012559302849695086
