dataset,model,run_name,n_seeds_present,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std,macro_f1_mean,macro_f1_std,g_means_mean,g_means_std,mean_abs_delta_rel_mean,mean_abs_delta_rel_std,mean_alpha_llm_mean,mean_alpha_llm_std,mean_alpha_llm_accepted_mean,mean_alpha_llm_accepted_std,mean_alpha_llm_rejected_mean,mean_alpha_llm_rejected_std,max_abs_alpha_llm_rejected_mean,max_abs_alpha_llm_rejected_std,mean_gate_entropy_mean,mean_gate_entropy_std,mean_dominance_rho_mean,mean_dominance_rho_std,gate_weight_rel_0_mean,gate_weight_rel_0_std,gate_weight_rel_1_mean,gate_weight_rel_1_std,gate_weight_rel_2_mean,gate_weight_rel_2_std
amazon,bwgnn,phase2_E0_relgate,5,0.8642702598265796,0.0184660867776922,0.9747542775178444,0.0065160911897914455,0.9112760372107903,0.0033276081195145442,0.8884512118911115,0.017454729748726725,1.139126193523407,0.49159643753730115,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.3708439027424902,0.5011992984578232,0.5094758093357086,0.5052681343985175,0.17453009448217927,0.29017564808684554,0.5290075506607537,0.4483939172615202,0.2964623216583277,0.4309903490253464
amazon,bwgnn,phase2_E1_judge_align,5,0.864362729197842,0.01862578348265702,0.9747851507803695,0.00652531365562815,0.9133118076726486,0.0032522345116113966,0.8887697634267642,0.01559326127938123,1.1481110334396363,0.4657742469776947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5766259424388409,0.4255098536329532,0.4077228054404259,0.48650381971332507,0.13467950519407168,0.1918817921120012,0.15684724003076553,0.14659913206839179,0.7084732234477997,0.25310196544515884
amazon,bwgnn,phase2_E2_judge_residual,5,0.8643647426439601,0.01862512723071345,0.974784467743588,0.006525151731172029,0.9133118076726486,0.0032522345116113966,0.8887697634267642,0.01559326127938123,1.1481113195419312,0.465774492459042,2.7423546271165833e-05,3.052100903588199e-05,0.00556908049620688,0.006497400873660324,0.0,0.0,0.0,0.0,0.5766086023300886,0.42552391013547275,0.40772407576441766,0.48650630345803886,0.13467787483241409,0.19188258123015087,0.15684288777410985,0.14660461638143435,0.7084792196750641,0.2531075580617302
amazon,bwgnn,phase2_E3_no_trust,5,0.8639647427068318,0.018789309329140025,0.9745531914893617,0.006490460644878611,0.9133118076726486,0.0032522345116113966,0.8887697634267642,0.01559326127938123,1.1530224680900574,0.4697600379315749,5.835113806824665e-05,0.00010062229849561076,0.012048458261415363,0.02118430792409736,0.0,0.0,0.0,0.0,0.5944588396698236,0.3916087512964168,0.4740215614438057,0.6416622956190781,0.1305664055456873,0.1985714307215269,0.18045209334231913,0.15863767456468017,0.6889815032482147,0.24301916691113734
amazon,bwgnn,phase2_E0_relgate_v2,5,0.8644067075273267,0.018694407209375465,0.9746941702810696,0.006623940019120441,0.9116021594003687,0.0045792218929159596,0.8888230787879887,0.017163593479131142,0.47113792356103656,0.42649675096037787,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.8537324130535126,0.2978019971253537,0.11971898642368614,0.18372816811001377,0.19065991640090943,0.15142400713635185,0.3016248792409897,0.1453551363960269,0.5077152132987977,0.2541265588930733
amazon,bwgnn,phase2_E1_judge_align_v2,5,0.8643204876359877,0.01851061154468288,0.9746825586557836,0.006616617193974456,0.9114673784441094,0.004143944416612306,0.8888015825559956,0.017082432772581257,0.4869482425972819,0.4434103985152715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7086314380168914,0.4165698969540789,0.10637922552414239,0.1059910107350539,0.15059043187648058,0.16153035602780555,0.2336052406579256,0.18540488279203596,0.6158042788505554,0.2978620024403072
amazon,bwgnn,phase2_E2_judge_residual_v2,5,0.8643204876359877,0.01851061154468288,0.9746825586557837,0.006616617193974487,0.9114673784441094,0.004143944416612306,0.8888015825559956,0.017082432772581257,0.48694826643913985,0.4434104212676328,1.2278068606974556e-05,1.4417374167665012e-06,0.0023961794562637807,3.9566791768609816e-05,0.0,0.0,0.0,0.0,0.7086312592029571,0.41657019186331257,0.10637924638576805,0.10599103662752583,0.15059040170162916,0.1615303866668639,0.23360528387129306,0.18540500497850887,0.6158043026924134,0.297862117796361
amazon,bwgnn,phase2_E3_no_trust_v2,5,0.8642132859278941,0.018404070538215186,0.9747096069123322,0.006635557068778406,0.9124087027015241,0.003621105821279517,0.8876893234245725,0.01689252639701779,0.5457081941887736,0.5111655121381388,1.2321360918576829e-05,1.4787637254574509e-06,0.002404290297999978,5.94738028670364e-05,0.0,0.0,0.0,0.0,0.6385834529995918,0.45150041377333117,0.12513872054405512,0.15935358498207644,0.14608722077682615,0.16584695400359856,0.30799008458852767,0.3249479435164323,0.5459226846694947,0.3719075373602806
amazon,bwgnn,phase2_amz_c1_drel05_ltrust1em2_tau18_lsp0,5,0.8645263720950813,0.018820935245454556,0.9747557801987637,0.006618774744543721,0.9128790307520619,0.003256440114277848,0.8871302451749694,0.016910779456107222,0.3141614496707916,0.15294586854979417,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.6969247590750456,0.433388364132723,0.16362235993146895,0.2649252337309069,0.1609646193915978,0.1796050723750646,0.5522729068994522,0.33028005730570603,0.2867624577600509,0.2507350970080733
amazon,bwgnn,phase2_amz_c2_drel075_ltrust1em2_tau18_lsp0,5,0.8645938697339044,0.01874905997062298,0.9747831016700249,0.0066062852369284586,0.911330963253403,0.0040325083851379465,0.888780631613179,0.017035490761435044,0.4727946430444717,0.2581534024965555,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.657028254121542,0.432090045217566,0.17893706411123275,0.2852063152647245,0.18303026136709377,0.21257733766924772,0.5391807943582535,0.35744558009842514,0.2777889432152733,0.28614658005923704
