dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
amazon,bwgnn,phase2_amz_f1_drel10_tau18_trust1em2_lsp0_cuda,42,True,True,0.8649679002870606,0.9696069123322291,0.9133481266392223,0.8699452591605977,0.17133526504039764,0.0,nan,0.0,0.0,1.0924620628356934,0.013033555820584297,0.28673693537712097,0.3460998237133026,0.36716321110725403
amazon,bwgnn,phase2_amz_f1_drel10_tau18_trust1em2_lsp0_cuda,123,True,True,0.8593443324859986,0.9819452887537993,0.9078951979143306,0.8928297185091912,0.9670764803886414,0.0,nan,0.0,0.0,0.4277278780937195,0.16940274834632874,0.0020609977655112743,0.8380133509635925,0.1599256843328476
amazon,bwgnn,phase2_amz_f1_drel10_tau18_trust1em2_lsp0_cuda,456,True,True,0.8614216807042187,0.9763238960418018,0.9068129089532215,0.8864680596105396,0.6433765888214111,0.0,nan,0.0,0.0,0.6320288181304932,0.03926968574523926,0.0882686972618103,0.11084158718585968,0.8008896708488464
amazon,bwgnn,phase2_amz_f1_drel10_tau18_trust1em2_lsp0_cuda,789,True,True,0.8432356444438768,0.9664922646084492,0.9161821191105433,0.8783042330974208,0.5642272233963013,0.0,nan,0.0,0.0,0.8902227282524109,0.023110896348953247,0.5821553468704224,0.3283587694168091,0.08948585391044617
amazon,bwgnn,phase2_amz_f1_drel10_tau18_trust1em2_lsp0_cuda,2026,True,True,0.8945654849430246,0.9797042450735973,0.9121610603988299,0.9147572615992977,0.9903371930122375,0.0,nan,0.0,0.0,0.01807050034403801,0.6927685737609863,0.0008393036550842226,0.9976415038108826,0.0015191857237368822
amazon,bwgnn,phase2_amz_f2_drel125_tau18_trust1em2_lsp0_cuda,42,True,True,0.8649613650729505,0.9696294525460196,0.9133481266392223,0.8699452591605977,0.46911996603012085,0.0,nan,0.0,0.0,1.041075348854065,0.020539570599794388,0.19161659479141235,0.38547736406326294,0.4229060113430023
amazon,bwgnn,phase2_amz_f2_drel125_tau18_trust1em2_lsp0_cuda,123,True,True,0.8593746054316386,0.9819528021583962,0.9078951979143306,0.8928297185091912,1.2429686784744263,0.0,nan,0.0,0.0,0.11974570155143738,0.4112725257873535,0.00016414388664998114,0.9728074669837952,0.02702830173075199
amazon,bwgnn,phase2_amz_f2_drel125_tau18_trust1em2_lsp0_cuda,456,True,True,0.8594301449933363,0.9759782794303473,0.9075240855702806,0.8865686060929829,1.2204231023788452,0.0,nan,0.0,0.0,0.002774617401883006,1.0649043321609497,0.0001463054504711181,0.000143204175401479,0.9997104406356812
amazon,bwgnn,phase2_amz_f2_drel125_tau18_trust1em2_lsp0_cuda,789,True,True,0.8434613766355425,0.9665592022130393,0.9161821191105433,0.8783042330974208,0.7045005559921265,0.0,nan,0.0,0.0,0.8901679515838623,0.02311793714761734,0.5830190181732178,0.32713067531585693,0.08985026925802231
amazon,bwgnn,phase2_amz_f2_drel125_tau18_trust1em2_lsp0_cuda,2026,True,True,0.891383554821183,0.9785792834944161,0.9114779439995151,0.9146530929191673,1.1942954063415527,0.0,nan,0.0,0.0,0.007358147297054529,0.9844823479652405,0.00034013998811133206,0.9991297125816345,0.0005301727796904743
