dataset,model,run_name,n_seeds_present,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std,macro_f1_mean,macro_f1_std,g_means_mean,g_means_std,mean_abs_delta_rel_mean,mean_abs_delta_rel_std,mean_alpha_llm_mean,mean_alpha_llm_std,mean_alpha_llm_accepted_mean,mean_alpha_llm_accepted_std,mean_alpha_llm_rejected_mean,mean_alpha_llm_rejected_std,max_abs_alpha_llm_rejected_mean,max_abs_alpha_llm_rejected_std,mean_gate_entropy_mean,mean_gate_entropy_std,mean_dominance_rho_mean,mean_dominance_rho_std,gate_weight_rel_0_mean,gate_weight_rel_0_std,gate_weight_rel_1_mean,gate_weight_rel_1_std,gate_weight_rel_2_mean,gate_weight_rel_2_std
amazon,bwgnn,phase2_amz_f1_drel10_tau18_trust1em2_lsp0_cuda,5,0.8647070085728359,0.018655882632635398,0.9748145213619753,0.006584348919496633,0.9112798826032296,0.003888957910117146,0.8884609063954094,0.017033375029692592,0.6672705501317978,0.3359301665263622,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.6121023975312709,0.4169416166993292,0.18751709200441838,0.2894211396456137,0.19201225618598983,0.24727297690499161,0.5241910070180893,0.3753546037426665,0.28379672118462623,0.31902838595175026
amazon,bwgnn,phase2_amz_f2_drel125_tau18_trust1em2_lsp0_cuda,5,0.8637222093909301,0.017424912903209758,0.9745398039684438,0.006347060424510605,0.9112854946467783,0.0036711962901610226,0.888460181955872,0.01699032928607783,0.9662615418434143,0.35666263533984643,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.41222435333766044,0.5101453593018315,0.5008633427321911,0.5047295545863855,0.1550572404579725,0.2531869466928654,0.5369376846239902,0.43552022397967793,0.30800503914942967,0.42211930182775076
amazon,bwgnn,phase2_amz_f3_drel10_tau25_trust1em2_lsp0_cuda,5,0.8647132123273976,0.018659383897478465,0.974817936545883,0.0065879463480498736,0.9111930096107808,0.004016450750496275,0.8887599221996956,0.01700274052756576,0.6516512185335159,0.3408275937205595,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7113973122090101,0.4342687994377014,0.22226176597177982,0.3791000327915844,0.19894713840913028,0.21502396274623686,0.5346910864114761,0.3370577844764309,0.26636174791492523,0.23942181209454916
amazon,bwgnn,phase2_amz_f4_drel075_tau25_trust1em2_lsp0_cuda,5,0.8645825227017783,0.01874989534636194,0.9747806427376114,0.006603844621429491,0.9127914248021723,0.0034373811075148193,0.8874293040377511,0.01691158582059228,0.48572308719158175,0.2517289771686595,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.7265083715319633,0.41448500788827985,0.14661100432276725,0.22145070804501635,0.2000756084918976,0.21316329849637736,0.5301929503679276,0.33115029573508825,0.2697314671240747,0.23746066139719638
amazon,bwgnn,phase2_amz_f5_drel10_tau13_trust1em2_lsp0_cuda,5,0.8647307639255605,0.018641385849995574,0.9748234008401353,0.00658439842979386,0.9122717058962917,0.0036133726551310836,0.8876684920607338,0.016850653943092254,0.6385561943054199,0.3535410311830614,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.5171856438741088,0.4799909034356568,0.265147253125906,0.3591673015620957,0.18180317601872958,0.2413282279792558,0.5551454603672028,0.4134679434979346,0.2630513411364518,0.3577550659795585
amazon,bwgnn,phase2_amz_f6_drel075_tau13_trust1em2_lsp0_cuda,5,0.8646106911786342,0.018743534990919707,0.9747869266760015,0.006608094145546863,0.9114715087819841,0.003860799450246674,0.8888009059185185,0.01704142287742431,0.4783017158508301,0.2642692315785871,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.5165622906759382,0.4808190773285569,0.2484176903963089,0.32935475900828864,0.1815545027871849,0.24088179453649378,0.5556958615779877,0.4135497415488004,0.2627495979424566,0.35795521190512736
amazon,bwgnn,phase2_amz_f7_drel10_tau18_trust3em2_lsp0_cuda,5,0.8643661569341851,0.01872800927731312,0.9749591885523036,0.0067730662915438476,0.9117557415577229,0.0034919178224860885,0.8888412037704451,0.01703948250165211,0.6198316782712936,0.34189036222521935,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.6136881715618074,0.4268019574749183,0.504808541201055,0.6430198235067035,0.17675049498502632,0.2588883550166218,0.2975274138065288,0.19746833973543465,0.525722074508667,0.3481831108396094
amazon,bwgnn,phase2_amz_f8_drel15_tau25_trust5em2_lr1em4_cuda,5,0.8646996362316942,0.01859735335000917,0.9747866534612889,0.00657402724120039,0.9112276521843972,0.003942143056504689,0.8881437803697527,0.016939303343933593,0.4137171318754554,0.4954501339707774,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.8889912068843842,0.2957202847121999,0.07525755944661797,0.10813342760971581,0.3575968913733959,0.2575439702955214,0.24583133012056352,0.1311291452637897,0.39657177627086637,0.28872990277053795
amazon,bwgnn,phase2_amz_j1_drel075_align3em3_alpha0_cuda,5,0.8645821507687251,0.018775010914605258,0.9747979918718623,0.0066004045141375605,0.9115319867560365,0.004383072624998009,0.8891248495771759,0.016793717375136293,0.476907679438591,0.24678259812969974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6256418034434319,0.3364752837993273,0.16553929410874843,0.22848485914012248,0.09908286011777818,0.06333064457809809,0.1844210784882307,0.1615107324913557,0.7164960443973541,0.19551531659118168
amazon,bwgnn,phase2_amz_j2_drel075_align1em2_alpha0_cuda,5,0.8645599984229074,0.018799826376517833,0.974796489190943,0.006601229539676533,0.9115319867560365,0.004383072624998009,0.8891248495771759,0.016793717375136293,0.4939470887184143,0.22969791786077573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7031294107437134,0.17181179072410366,0.2746759485453367,0.4814573577962128,0.0991628460586071,0.02702739504222024,0.1696106255054474,0.10919353299398868,0.7312265157699585,0.1230871833588567
amazon,bwgnn,phase2_amz_j3_drel10_align3em3_alpha0_cuda,5,0.864669205880479,0.018714128904453103,0.9748199173525495,0.006596623185612047,0.9123620153204015,0.003909273466892212,0.8873640438104248,0.01713156774939439,0.5946994543075561,0.38697880075629015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6528166927397251,0.39132589192150596,0.18927766401320695,0.2652591605087992,0.11839228458702564,0.09478382028648512,0.19488586811348796,0.15864562407608945,0.6867218136787414,0.22208850983833067
amazon,bwgnn,phase2_amz_j4_drel10_align1em2_alpha0_cuda,5,0.8646467217147702,0.01875029738652633,0.9748160240428947,0.006589160274971171,0.9111252992392076,0.0038654540942992264,0.8884368049049767,0.017304380580773784,0.6525308907032012,0.353436148505536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6684962391853333,0.26026270650008415,0.2946844547986984,0.48990967696903165,0.10467724204063415,0.0741360767467304,0.18188202157616615,0.15371362695917587,0.71344074010849,0.1953871727085294
amazon,bwgnn,phase2_amz_j5_drel075_align3em3_alpha005_cuda,5,0.8645840574528807,0.018778816417795937,0.9747984016939313,0.006600785833171091,0.9115319867560365,0.004383072624998009,0.8891248495771759,0.016793717375136293,0.4769075244665146,0.24678238800517896,5.33419470230001e-05,9.026629476750048e-05,0.011146019399166106,0.01937930789090084,0.0,0.0,0.0,0.0,0.6256146833300591,0.33646972482908405,0.16556594595313073,0.22849070441908478,0.09908676138147712,0.0633297522034282,0.1844311637803912,0.16153033803975284,0.7164820790290832,0.19553668568822316
amazon,bwgnn,phase2_amz_j6_drel10_align3em3_alpha005_cuda,5,0.8646707691690892,0.018717246647221183,0.9748201905672621,0.006596876326523585,0.9124990121256339,0.00391247162373598,0.8873848751742633,0.01717321689424736,0.5946976065635681,0.38697641552160306,5.3573942386719865e-05,9.034352835447412e-05,0.011191846197471022,0.01939760238782783,0.0,0.0,0.0,0.0,0.6527968250215054,0.3913248668226518,0.18938016686588527,0.2652867257346536,0.11839511529542505,0.09478284167928504,0.19487008284777402,0.1586191156231698,0.6867347598075867,0.22207520361933372
amazon,bwgnn,phase2_amz_j7_drel075_align1em2_alpha005_cuda,5,0.8645599640408148,0.01879983416340724,0.9747963525835867,0.006601191449491977,0.9115319867560365,0.004383072624998009,0.8891248495771759,0.016793717375136293,0.4938826560974121,0.22960993161343005,1.6918670917220878e-05,1.0134457752103015e-05,0.003281714813783765,0.0018679772100049497,0.0,0.0,0.0,0.0,0.7048746168613433,0.16856518618599917,0.2718228571116924,0.47513380291791857,0.09908487498760224,0.02717928162642218,0.17037246376276016,0.10827141964131713,0.7305426597595215,0.12205695720906885
amazon,bwgnn,phase2_amz_j8_drel10_align1em2_alpha005_cuda,5,0.8646465761694412,0.01875034826527457,0.9748158874355384,0.006588975222443262,0.9111252992392076,0.0038654540942992264,0.8884368049049767,0.017304380580773784,0.6525314271450042,0.3534367968213097,2.3759218493069056e-05,2.2466418590780478e-05,0.004604774480685592,0.004218899294982865,0.0,0.0,0.0,0.0,0.668392127752304,0.2604017313047099,0.2946659754961729,0.4898671373793958,0.10465753600001335,0.07415365243068513,0.1818651005625725,0.15373087300005867,0.713477373123169,0.19542984254708792
