dataset,seed,status,base_auprc,single_auprc,anchor_auprc,judge_auprc,delta_auprc_vs_anchor,delta_auprc_vs_single,delta_auprc_vs_base,delta_auprc_vs_original_judge,roc_auc,macro_f1,f1,judge_acceptance_rate,judge_num_accepted,judge_num_rejected,forbidden_audit_passed,accepted_outputs_passed,prompt_packet_passed,verdict_distribution,strength_distribution,alpha_llm_mean,alpha_llm_max,alpha_weak,alpha_moderate,alpha_strong,delta_llm_mean,delta_llm_max_abs,final_vs_rel_delta_abs_mean,llm_near_cap_fraction,overall_near_cap_fraction,ranking_gap_delta
yelpchi,42,complete,0.4139439671602826,0.4427083082536801,0.4358374968397744,0.42607285264658445,-0.009764644193189953,-0.016635455607095673,0.012128885486301866,,0.7795824243118776,0.6136380014412683,0.3,0.8666666666666667,52,8,True,True,True,"{""fake"": 47, ""real"": 4, ""uncertain"": 1}","{""moderate"": 9, ""strong"": 43}",0.5429266691207886,0.6781493425369263,0.0,0.32874009013175964,0.587756335735321,-0.2587519884109497,0.47783762216567993,0.23113831877708435,0.8269230723381042,0.956064760684967,0.2619304656982422
yelpchi,123,complete,0.47796125170358006,0.5054112388234036,0.5052169523238443,0.5164255149992136,0.011208562675369294,0.011014276175810078,0.03846426329563357,-1.3583780241077648e-05,0.8199611472487626,0.6896256717240534,0.4504034171808258,0.9333333333333333,56,4,True,True,True,"{""fake"": 43, ""real"": 6, ""uncertain"": 7}","{""moderate"": 8, ""strong"": 48}",0.07868238538503647,0.09205818176269531,0.0,0.03626595810055733,0.08575179427862167,-0.009792773984372616,0.3005751967430115,0.009468582458794117,0.0,0.880772054195404,0.1635313630104065
yelpchi,456,complete,0.46593391761586805,0.494181894436963,0.4944126738126025,0.5032066126232022,0.0087939388105997,0.009024718186239233,0.037272695007334156,2.9292662957480786e-06,0.8144910763088079,0.6783911685291097,0.42715067130780704,0.95,57,3,True,True,True,"{""fake"": 45, ""real"": 4, ""uncertain"": 8}","{""moderate"": 18, ""strong"": 39}",0.0716862678527832,0.09044372290372849,0.0,0.039227332919836044,0.08666730672121048,-0.07974972575902939,0.16704316437244415,0.005964039359241724,0.0,0.8433651328086853,0.15723001956939697
yelpchi,789,complete,0.46000448786876347,0.4784816973954549,0.4805815241437129,0.4793511674293758,-0.001230356714337133,0.0008694700339209049,0.019346679560612312,-1.0602976448503831e-06,0.8114356299140687,0.6467589080148322,0.36746361746361744,0.9,54,6,True,True,True,"{""fake"": 46, ""real"": 4, ""uncertain"": 4}","{""moderate"": 10, ""strong"": 44}",0.07206496596336365,0.08202047646045685,0.0,0.03891780599951744,0.07959841936826706,-0.031570181250572205,0.10793840885162354,0.0027628170792013407,0.0,0.8069591522216797,0.19547128677368164
yelpchi,2026,complete,0.47069848102768796,0.5032558801852068,0.5054176626902176,0.49645860915112205,-0.00895905353909554,-0.006797271034084784,0.02576012812343409,,0.8097288130770693,0.6255404247372323,0.3195477536447486,0.9666666666666667,58,2,True,True,True,"{""fake"": 41, ""real"": 12, ""uncertain"": 5}","{""moderate"": 12, ""strong"": 46}",0.07897146791219711,0.09285891056060791,0.0,0.041777241975069046,0.08867430686950684,0.2149476706981659,0.3369813561439514,0.016806961968541145,0.0,0.9005091786384583,0.15490049123764038
yelpchi,mean,5/5 complete,0.4577084210752364,0.4848078038189417,0.4842932619620304,0.48430295136989965,9.689407869273303e-06,-0.0005048524490420481,0.026594530294663198,-3.90493719672665e-06,0.8070398181721172,0.6507908348892992,0.37291309191939975,0.9233333333333333,55.4,4.6,True,True,True,,,0.1688663512468338,0.20710612684488297,0.0,0.0969856858253479,0.18568963259458543,-0.0329833997413516,0.2780751496553421,0.05322814392857254,0.16538461446762084,0.8775340557098389,0.18661272525787354
yelpchi,std,5/5 complete,0.02533365818709893,0.025812273145948753,0.028931737728223172,0.03518604865750698,0.009747967247195977,0.011458432407487958,0.011373172491804577,8.6162147789454e-06,0.015834648125174895,0.03280280342210333,0.06546056179352268,0.0401386485959743,2.4083189157584592,2.4083189157584592,True,True,True,,,0.2091350257354966,0.26335655657837,0.0,0.1295693516235481,0.22478764716531702,0.1696821756091678,0.14590737732585943,0.09959176274267816,0.36981124038219537,0.05668717850240977,0.045146967230647296
amazon,42,complete,0.8687558927379789,0.8748508918953097,0.8751088536476418,0.8750446368727126,-6.421677492918221e-05,0.00019374497740287655,0.0062887441347336814,,0.9736935213961272,0.9161821191105433,0.8429752066115702,0.9333333333333333,56,4,True,True,True,"{""fake"": 42, ""real"": 3, ""uncertain"": 11}","{""moderate"": 11, ""strong"": 45}",0.19149275124073029,0.39889028668403625,0.0,0.0650239884853363,0.22240734100341797,-0.30210092663764954,0.4258829951286316,0.0637483075261116,0.0,0.9059779047966003,0.26929521560668945
amazon,123,complete,0.860012186805779,0.860716075165987,0.8606894202024248,0.8614409108732862,0.0007514906708614433,0.0007248357072991984,0.0014287240675072699,1.4350504930260577e-05,0.9820880434411393,0.9176982492653363,0.8459016393442623,0.9333333333333333,56,4,True,True,True,"{""fake"": 37, ""real"": 3, ""uncertain"": 16}","{""moderate"": 12, ""strong"": 44}",0.06730160862207413,0.095518559217453,0.0,0.020434007048606873,0.0800836905837059,0.08903490006923676,0.2553878724575043,0.008085435256361961,0.0,0.5843101143836975,-0.08113956451416016
amazon,456,complete,0.8590609728417147,0.8611729070031306,0.8614742204058818,0.8621615147539828,0.0006872943481009974,0.0009886077508521884,0.003100541912268162,-6.244864617199752e-06,0.9759693999521875,0.9139330344016465,0.8388157894736842,0.9333333333333333,56,4,True,True,True,"{""fake"": 39, ""real"": 9, ""uncertain"": 8}","{""moderate"": 13, ""strong"": 43}",0.27091914415359497,0.5514273643493652,0.0,0.1280188113451004,0.3141215741634369,-0.4030432105064392,0.43197545409202576,0.11286578327417374,0.0535714291036129,0.9749665260314941,0.19240283966064453
