dataset,model,role,mean_AUPRC,std_AUPRC,mean_ROC_AUC,std_ROC_AUC,mean_Macro_F1,std_Macro_F1,delta_AUPRC_vs_Base,delta_AUPRC_vs_Gate,seeds
yelpchi,gcn,Base,0.1756,0.0058,0.5504,0.0117,,,0.0000,,5
yelpchi,gcn,Gate,0.4657,0.0141,0.8481,0.0094,,,0.2901,0.0000,5
yelpchi,gcn,Judge,0.4654,0.0131,0.8489,0.0093,,,0.2899,-0.0002,5
yelpchi,gat,Base,0.1453,0.0061,0.4993,0.0128,0.4608,0.0000,0.0000,,5
yelpchi,gat,Gate,0.1598,0.0134,0.5449,0.0428,0.4608,0.0000,0.0145,0.0000,5
yelpchi,gat,Judge,0.3630,0.0546,0.8134,0.0274,0.6767,0.0187,0.2176,0.2032,5
amazon,gcn,Base,0.2514,,,,,,0.0000,,5
amazon,gcn,Gate,0.2515,,,,,,0.0000,0.0000,5
amazon,gcn,Judge,0.2513,,,,,,-0.0002,-0.0002,5
amazon,gat,Base,0.1829,0.2627,0.5447,0.2469,,,0.0000,,5
amazon,gat,Gate,0.2732,0.2674,0.6893,0.1834,,,0.0823,0.0000,5
amazon,gat,Judge,0.2819,0.2700,0.6917,0.1837,0.6238,0.1671,0.0990,0.0087,5
yelpchi,bwgnn,Base,0.4577,0.0236,0.8014,0.0137,0.6379,0.0202,0.0000,,5
yelpchi,bwgnn,Gate,0.4843,,,,,,0.0266,0.0000,5
yelpchi,bwgnn,Judge,0.4843,,,,,,0.0266,0.0000,5
amazon,bwgnn,Base,0.8512,0.0214,0.9585,0.0261,0.9170,0.0058,0.0000,,5
amazon,bwgnn,Gate,0.8547,,,,,,0.0035,0.0000,5
amazon,bwgnn,Judge,0.8549,,,,,,0.0037,0.0002,5
