dataset,experiment,run_name,seed,missing_metrics,missing_diagnostics,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_judge_align_count,max_abs_alpha_llm_rejected
yelpchi,E0,phase2_E0_relgate,42,False,False,0.5013298442999187,0.865285135161187,0.7289554118350452,0.7490153762531363,1.4444658756256104,0.0,,0.0,0.25834012031555176,1.0318396091461182,,0.0
yelpchi,E0,phase2_E0_relgate,123,False,False,0.5528945531548137,0.8539410168424755,0.7124626738595582,0.6607973925146302,1.5225399732589722,0.0,,0.0,0.0031242910772562027,0.7258943915367126,,0.0
yelpchi,E0,phase2_E0_relgate,456,False,False,0.3222565168530322,0.8019080651378973,0.6688847734794423,0.6836270669461132,1.157212257385254,0.0,,0.0,0.0019157328642904758,0.2705414295196533,,0.0
yelpchi,E0,phase2_E0_relgate,789,False,False,0.4064613374495559,0.837876480602542,0.696609798495325,0.7202772408062722,1.22337806224823,0.0,,0.0,0.33258160948753357,0.7481423020362854,,0.0
yelpchi,E0,phase2_E0_relgate,2026,False,False,0.4687856720276696,0.8553289895708666,0.7211484730088807,0.7378811810561311,1.466477394104004,0.0,,0.0,0.43763867020606995,0.9023486971855164,,0.0
yelpchi,E1,phase2_E1_judge_align,42,False,False,0.5041490147075488,0.8666922075572202,0.7296113009603615,0.7448331710844837,1.385236382484436,0.0,0.0,0.0,0.21451258659362793,1.0106853246688843,,0.0
yelpchi,E1,phase2_E1_judge_align,123,False,False,0.5529729044481262,0.8548664630592053,0.7125890983381,0.6593714635154897,1.4945467710494995,0.0,0.0,0.0,0.20292671024799347,0.7437713146209717,,0.0
yelpchi,E1,phase2_E1_judge_align,456,False,False,0.32176187896877584,0.8016707073842508,0.66776502382024,0.6795164480395279,1.1500155925750732,0.0,0.0,0.0,0.005698746535927057,0.28288739919662476,,0.0
yelpchi,E1,phase2_E1_judge_align,789,False,False,0.41633821005903904,0.8399061449719345,0.6983545731686754,0.7312020651833291,1.2717161178588867,0.0,0.0,0.0,0.30088990926742554,0.725943386554718,,0.0
yelpchi,E1,phase2_E1_judge_align,2026,False,False,0.4724396066461012,0.8559326725158118,0.7235492484508201,0.7471406234733922,1.4938451051712036,0.0,0.0,0.0,0.44437000155448914,1.054276943206787,,0.0
yelpchi,E2,phase2_E2_judge_residual,42,False,False,0.5052903467458003,0.8669595194995454,0.7301482560342178,0.7457267924869513,1.3839398622512817,3.777976962737739e-05,0.048225872218608856,0.0,0.21802055835723877,1.004619836807251,,0.0
yelpchi,E2,phase2_E2_judge_residual,123,False,False,0.5531295437487651,0.8550050339479613,0.712392675895549,0.658885666919797,1.489653468132019,2.8553715310408734e-05,0.02302030473947525,0.0,0.22351261973381042,0.7428233623504639,,0.0
yelpchi,E2,phase2_E2_judge_residual,456,False,False,0.32173921620290546,0.8016651311868357,0.66776502382024,0.6795164480395279,1.149960994720459,4.667630037147319e-06,0.0053624059073626995,0.0,0.005699705332517624,0.2828942537307739,,0.0
yelpchi,E2,phase2_E2_judge_residual,789,False,False,0.4162482107661633,0.839756934031273,0.6985682413454349,0.7317772649584539,1.272133469581604,3.501964238239452e-05,0.048766445368528366,0.0,0.29908329248428345,0.7297365665435791,,0.0
yelpchi,E2,phase2_E2_judge_residual,2026,False,False,0.47295120437062954,0.85752660710001,0.7233318538429782,0.7497877319048668,1.4900189638137817,4.8920563131105155e-05,0.049957673996686935,0.0,0.4518178403377533,1.0073890686035156,,0.0
amazon,E0,phase2_E0_relgate,42,False,False,0.7414941711239985,0.8660496567740172,0.8766220204838125,0.8189492743788648,1.4238797426223755,0.0,,0.0,0.0012194798327982426,0.6002565622329712,,0.0
amazon,E0,phase2_E0_relgate,123,True,True,,,,,,,,,,,,
amazon,E0,phase2_E0_relgate,456,True,True,,,,,,,,,,,,
amazon,E0,phase2_E0_relgate,789,True,True,,,,,,,,,,,,
amazon,E0,phase2_E0_relgate,2026,True,True,,,,,,,,,,,,
amazon,E1,phase2_E1_judge_align,42,True,True,,,,,,,,,,,,
amazon,E1,phase2_E1_judge_align,123,True,True,,,,,,,,,,,,
amazon,E1,phase2_E1_judge_align,456,True,True,,,,,,,,,,,,
amazon,E1,phase2_E1_judge_align,789,True,True,,,,,,,,,,,,
amazon,E1,phase2_E1_judge_align,2026,True,True,,,,,,,,,,,,
amazon,E2,phase2_E2_judge_residual,42,True,True,,,,,,,,,,,,
amazon,E2,phase2_E2_judge_residual,123,True,True,,,,,,,,,,,,
amazon,E2,phase2_E2_judge_residual,456,True,True,,,,,,,,,,,,
amazon,E2,phase2_E2_judge_residual,789,True,True,,,,,,,,,,,,
amazon,E2,phase2_E2_judge_residual,2026,True,True,,,,,,,,,,,,
