cell,seed,roc_auc,auprc,macro_f1,g_means
A0,42,0.827463,0.500296,0.692662,0.687976
A0,123,0.831123,0.523180,0.704146,0.676413
A0,456,0.827515,0.499749,0.700939,0.658075
A0,789,0.839010,0.512110,0.706823,0.685123
A0,2026,0.812849,0.481648,0.690390,0.668801
L0,42,0.880290,0.604086,0.749798,0.746087
L0,123,0.882174,0.615912,0.752161,0.720128
L0,456,0.879806,0.606572,0.745309,0.746108
L0,789,0.890601,0.616275,0.761274,0.765887
L0,2026,0.878196,0.595115,0.739449,0.699106
L1,42,0.882925,0.609238,0.749318,0.726711
L1,123,0.881288,0.616529,0.750803,0.715239
L1,456,0.878486,0.605570,0.744097,0.754692
L1,789,0.887954,0.612701,0.755729,0.733055
L1,2026,0.878822,0.596723,0.742898,0.719387
L2,42,0.882804,0.607411,0.749181,0.740715
L2,123,0.883120,0.625286,0.754724,0.732704
L2,456,0.878597,0.607354,0.742896,0.746890
L2,789,0.886535,0.610946,0.753149,0.729734
L2,2026,0.877336,0.599224,0.732568,0.670197
L3,42,0.879480,0.600355,0.744549,0.730888
L3,123,0.882615,0.622288,0.750916,0.730250
L3,456,0.878751,0.606162,0.744576,0.724095
L3,789,0.885451,0.609373,0.753963,0.741941
L3,2026,0.875246,0.597591,0.743796,0.720831
L4,42,0.882263,0.607585,0.753170,0.747358
L4,123,0.882684,0.624699,0.753164,0.732526
L4,456,0.878709,0.607345,0.743014,0.750700
L4,789,0.883816,0.607403,0.751021,0.725433
L4,2026,0.878732,0.598309,0.742684,0.713249
L5,42,0.880679,0.602881,0.745237,0.759343
L5,123,0.883047,0.624028,0.749264,0.715883
L5,456,0.879039,0.604760,0.746072,0.712874
L5,789,0.885168,0.609641,0.754450,0.749955
L5,2026,0.875701,0.598241,0.743467,0.722395
L6,42,0.879578,0.602697,0.747042,0.739557
L6,123,0.882817,0.623886,0.754792,0.741521
L6,456,0.878881,0.605912,0.746409,0.738785
L6,789,0.884247,0.609208,0.753751,0.754229
L6,2026,0.875470,0.597771,0.740212,0.702912
L7,42,0.879980,0.601444,0.748101,0.736725
L7,123,0.882223,0.622456,0.751809,0.734072
L7,456,0.878860,0.605268,0.745415,0.705237
L7,789,0.886591,0.610117,0.753268,0.736243
L7,2026,0.876238,0.598538,0.740653,0.710437
A1,42,0.882921,0.607465,0.749318,0.740766
A1,123,0.881561,0.622442,0.747459,0.698912
A1,456,0.878491,0.606553,0.744432,0.712315
A1,789,0.886441,0.610254,0.754693,0.752850
A1,2026,0.877814,0.598316,0.743146,0.716456
A2,42,0.827461,0.500293,0.692662,0.687976
A2,123,0.831123,0.523181,0.704146,0.676413
A2,456,0.827511,0.499719,0.696812,0.642419
A2,789,0.839004,0.512075,0.708480,0.693477
A2,2026,0.812874,0.481639,0.689312,0.690483
