cell,seed,roc_auc,auprc,macro_f1,g_means
A0_base,42,0.827463,0.500296,0.692662,0.687976
A0_base,123,0.831123,0.523180,0.704146,0.676413
A0_base,456,0.827515,0.499749,0.700939,0.658075
A0_base,789,0.839010,0.512110,0.706823,0.685123
A0_base,2026,0.812849,0.481648,0.690390,0.668801
L7_legacy,42,0.880540,0.601907,0.746505,0.733968
L7_legacy,123,0.882288,0.622508,0.752481,0.735595
L7_legacy,456,0.879009,0.605687,0.745947,0.705807
L7_legacy,789,0.885618,0.609470,0.753158,0.743262
L7_legacy,2026,0.876030,0.598641,0.741826,0.701085
L7_revived,42,0.880862,0.600926,0.747140,0.740484
L7_revived,123,0.882014,0.624142,0.753306,0.732576
L7_revived,456,0.878699,0.606390,0.746372,0.728993
L7_revived,789,0.886048,0.608965,0.755138,0.756319
L7_revived,2026,0.876427,0.597870,0.737861,0.692185
A1_revived,42,0.882734,0.607330,0.749510,0.751381
A1_revived,123,0.882222,0.622773,0.751297,0.723453
A1_revived,456,0.878477,0.606388,0.744399,0.746619
A1_revived,789,0.886202,0.609270,0.755532,0.754214
A1_revived,2026,0.877732,0.598362,0.743389,0.717110
A2_revived,42,0.827877,0.500697,0.692662,0.687976
A2_revived,123,0.831454,0.523406,0.704146,0.676413
A2_revived,456,0.827853,0.499982,0.696877,0.642441
A2_revived,789,0.839391,0.512574,0.708480,0.693477
A2_revived,2026,0.813285,0.482051,0.689197,0.690433
