dataset,method,run_name,row_type,seed,status,roc_auc,auprc,macro_f1,f1,delta_auprc_vs_base,delta_roc_auc_vs_base,delta_macro_f1_vs_base,delta_auprc_vs_best_single,delta_macro_f1_vs_best_single,near_cap_fraction,residual_shift_mean,residual_shift_max_abs,mean_gate_all_relations,gate_vs_near_cap_corr,gate_vs_abs_residual_corr,mean_sparse_penalty,positive_auprc_vs_base_seeds
yelpchi,base,base,seed,42,complete,0.775972563297645,0.4139439671602826,0.6250054680664917,0.3263888888888889,0.0,0.0,0.0,-0.02876434109339754,0.001567289699870078,,,,,,,,
yelpchi,base,base,seed,123,complete,0.8115296269683588,0.47796125170358006,0.66562727788853,0.40576171875,0.0,0.0,0.0,-0.027449987119823493,-0.01243252298642783,,,,,,,,
yelpchi,base,base,seed,456,complete,0.806816226953713,0.46593391761586805,0.6517592873973698,0.3777437468095967,0.0,0.0,0.0,-0.028247976821094922,-0.017941317229845155,,,,,,,,
yelpchi,base,base,seed,789,complete,0.806058233468761,0.46000448786876347,0.6396191494528232,0.3551884357253485,0.0,0.0,0.0,-0.018477209526691407,-0.004117355554680402,,,,,,,,
yelpchi,base,base,seed,2026,complete,0.8065574580317868,0.47069848102768796,0.6076131873435285,0.2868217054263566,0.0,0.0,0.0,-0.032557399157518874,0.019404041683320883,,,,,,,,
yelpchi,base,base,mean,,5/5 complete,0.801386821744053,0.4577084210752364,0.6379248740297486,0.3503808991200381,0.0,0.0,0.0,-0.02709938274370525,-0.0027039728775524853,,,,,,,,0
yelpchi,base,base,std,,5/5 complete,0.014377039318401761,0.02533365818709893,0.022624069827274045,0.045973526846170516,0.0,0.0,0.0,0.005204471448836753,0.014455336320476329,,,,,,,,0
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,seed,42,complete,0.7825429085412355,0.4427083082536801,0.6234381783666216,0.31904626738575076,0.02876434109339754,0.00657034524359057,-0.001567289699870078,0.0,0.0,0.8481525182723999,0.15563789010047913,0.20000004768371582,,,,,
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,seed,123,complete,0.8193709758590926,0.5054112388234036,0.6780598008749579,0.4282592862345229,0.027449987119823493,0.007841348890733735,0.01243252298642783,0.0,0.0,0.6539365649223328,0.14039041101932526,0.1999983787536621,,,,,
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,seed,456,complete,0.8131979585112326,0.494181894436963,0.6697006046272149,0.4108624591400553,0.028247976821094922,0.006381731557519532,0.017941317229845155,0.0,0.0,0.6381816864013672,0.1476542055606842,0.19977378845214844,,,,,
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,seed,789,complete,0.81301337207885,0.4784816973954549,0.6437365050075036,0.361198738170347,0.018477209526691407,0.006955138610089007,0.004117355554680402,0.0,0.0,0.7601514458656311,0.13522043824195862,0.19999980926513672,,,,,
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,seed,2026,complete,0.8153118735043906,0.5032558801852068,0.5882091456602077,0.24698412698412697,0.032557399157518874,0.008754415472603805,-0.019404041683320883,0.0,0.0,0.7590851783752441,0.13970798254013062,0.19999980926513672,,,,,
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,mean,,5/5 complete,0.8086874176989602,0.4848078038189417,0.6406288469073012,0.3532701755829606,0.02709938274370525,0.007300595954907329,0.0027039728775524853,0.0,0.0,0.731901478767395,0.14372218549251556,0.19995436668395997,,,,,5
yelpchi,best_single,qwen_directional_t200_cover_rel_rur_nollm,std,,5/5 complete,0.01483758781350125,0.025812273145948753,0.0363979570664069,0.07326510077345802,0.005204471448836753,0.000987790917514239,0.014455336320476329,0.0,0.0,0.08647723056304293,0.008014659239734028,0.00010094846481045457,,,,,5
yelpchi,all_rel,qwen_directional_t200_cover_rel_nollm,seed,42,complete,0.7831893899928368,0.4469549562023738,0.6050139204767578,0.28293545534924847,0.03301098904209121,0.007216826695191858,-0.01999154758973387,0.0042466479486936715,-0.018424257889863793,0.8359881639480591,0.1489015817642212,0.20000004768371582,,,,,
