dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
yelpchi,bwgnn,phase2_yelp_s1_ltrust_0,42,True,True,0.5418089696232672,0.8589108266186026,0.7223861847791807,0.7115919787580537,1.5610558986663818,0.0,nan,0.0,0.0,0.003770135110244155,0.922478199005127,0.9995551109313965,0.00018820226250682026,0.00025670946342870593
yelpchi,bwgnn,phase2_yelp_s1_ltrust_0,123,True,True,0.5837096559420709,0.8706812738255842,0.7345687670250114,0.7084892847237918,1.472720742225647,0.0,nan,0.0,0.0,0.0019498392939567566,0.5566053986549377,0.9997817277908325,0.00011190096847712994,0.00010632698104018345
yelpchi,bwgnn,phase2_yelp_s1_ltrust_0,456,True,True,0.5709769940352815,0.8643949095418055,0.7261825864053593,0.7174183065346632,1.5506590604782104,0.0,nan,0.0,0.0,0.013982782140374184,0.7966985702514648,0.9980592131614685,0.0018153772689402103,0.000125429272884503
yelpchi,bwgnn,phase2_yelp_s1_ltrust_0,789,True,True,0.5698752989317205,0.8691991968083371,0.7274757666798934,0.7028958168413878,1.519639253616333,0.0,nan,0.0,0.0,0.002170210937038064,0.741055428981781,0.9997601509094238,0.00011606850603129715,0.00012384465662762523
yelpchi,bwgnn,phase2_yelp_s1_ltrust_0,2026,True,True,0.5666850095937047,0.8691665736704682,0.7292390879598205,0.6918908682750141,1.4595952033996582,0.0,nan,0.0,0.0,0.002967116655781865,0.6433504223823547,0.999657154083252,0.0001657253160374239,0.0001772010582499206
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em3,42,True,True,0.5417809451630766,0.8584225161513724,0.72236987773204,0.7114034154539737,1.554823875427246,0.0,nan,0.0,0.0,0.0034493948332965374,0.8917579650878906,0.999596118927002,0.00016619831149000674,0.00023771062842570245
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em3,123,True,True,0.5837470022119577,0.8707360587736928,0.7350738202540367,0.7080976841123263,1.4622730016708374,0.0,nan,0.0,0.0,0.0020031528547406197,0.5416092276573181,0.9997749328613281,0.00011501534754643217,0.00011007412831531838
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em3,456,True,True,0.5714834313581766,0.8647898187023326,0.7268291210959679,0.7192921257995915,1.5676653385162354,0.0,nan,0.0,0.0,0.012662852182984352,0.8683033585548401,0.9982766509056091,0.0016088192351162434,0.00011453673505457118
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em3,789,True,True,0.5700190910214703,0.869288046603475,0.7299221151487831,0.7129876689395436,1.4961854219436646,0.0,nan,0.0,0.0,0.002611338859423995,0.6481062769889832,0.9997029304504395,0.0001427942479494959,0.0001542620302643627
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em3,2026,True,True,0.5665523376943625,0.8690761391867489,0.7264724219551782,0.681543563817872,1.4757596254348755,0.0,nan,0.0,0.0,0.0036537847481667995,0.719397783279419,0.9995692372322083,0.00020355262677185237,0.00022714653459843248
