Variant,AUPRC mean ± std (across cells),Cells,Sig cells (p<0.05 vs det_mask)
det_mask,0.6714±0.1230,8,0/8
det_mask_cbr,0.6755±0.1217,8,3/8
cbr_best,0.6782±0.1192,8,4/8
cbr_l10,0.6765±0.1201,8,4/8
cbr_sq,0.6762±0.1208,8,4/8
cbr_exp,0.6782±0.1196,8,3/8
cbr_bin,0.6769±0.1186,8,3/8
cbr_sym,0.6724±0.1219,8,2/8
cbr_mask_HT,0.5519±0.2476,8,0/8
cbr_mask_dis,0.6787±0.1188,8,2/8
cbr_mask_rand,0.6692±0.1228,8,1/8
cbr_mh,0.6705±0.1224,8,0/8
det_mask_no_rel,0.6721±0.1229,8,1/8
det_mask_fixed_bce,0.6704±0.1239,8,0/8
det_mask_rev_only,0.6707±0.1231,8,0/8
det_mask_single_denom,0.6710±0.1228,8,0/8
det_mask_mh,0.6663±0.1249,8,0/8
g_opd_flash,0.6585±0.1289,8,0/8
opd_strict,0.6583±0.1280,8,0/8
opd_strict_mh,0.6487±0.1312,8,0/8
all_node_mh,0.6597±0.1286,8,0/8
